player_node,team_node,player_name,team_name,group,leagues,minutes_domestic,games_domestic,wins_domestic,first_date,last_date,active_years,minutes_international,games_international,wins_international,minutes_total,games_total,wins_total,domestic_win_rate
player::kino,team::ahq,Kino,AHQ,major,LMS,623.3,18,6.0,2018-08-17 00:00:00+00:00,2019-02-23 00:00:00+00:00,2018|2019,0.0,0.0,0.0,623.3,18.0,6.0,0.3333333333333333
player::lbb,team::ahq,LBB,AHQ,major,LMS,434.8333333333333,11,4.0,2017-06-08 00:00:00+00:00,2018-02-09 00:00:00+00:00,2017|2018,0.0,0.0,0.0,434.8333333333333,11.0,4.0,0.36363636363636365
player::m1ssion,team::ahq,M1ssion,AHQ,major,LMS,144.01666666666668,4,2.0,2018-03-08 00:00:00+00:00,2018-03-15 00:00:00+00:00,2018,0.0,0.0,0.0,144.01666666666668,4.0,2.0,0.5
player::mountain-xue-zhao-hong,team::ahq,Mountain (Xue Zhao-Hong),AHQ,major,LMS,7913.45,218,153.0,2015-02-08 00:00:00+00:00,2018-04-01 00:00:00+00:00,2015|2016|2017|2018,1086.65,30.0,12.0,9000.1,248.0,165.0,0.7018348623853211
player::nestea,team::ahq,Nestea,AHQ,major,LMS,571.6999999999999,16,5.0,2018-07-19 00:00:00+00:00,2018-08-12 00:00:00+00:00,2018,0.0,0.0,0.0,571.6999999999999,16.0,5.0,0.3125
player::rd,team::ahq,RD,AHQ,major,LMS,186.56666666666663,6,5.0,2016-01-29 00:00:00+00:00,2016-06-11 00:00:00+00:00,2016,0.0,0.0,0.0,186.56666666666663,6.0,5.0,0.8333333333333334
player::rainbow-kim-soo-gi,team::ahq,Rainbow (Kim Soo-gi),AHQ,major,LMS,1232.7333333333331,36,20.0,2019-01-17 00:00:00+00:00,2019-04-13 00:00:00+00:00,2019,162.85,5.0,0.0,1395.5833333333333,41.0,20.0,0.5555555555555556
player::taizan,team::ahq,Taizan,AHQ,major,LMS,282.26666666666665,8,2.0,2018-07-01 00:00:00+00:00,2018-08-17 00:00:00+00:00,2018,0.0,0.0,0.0,282.26666666666665,8.0,2.0,0.25
player::tuna,team::ahq,Tuna,AHQ,major,LMS,788.3,20,7.0,2018-01-21 00:00:00+00:00,2018-06-28 00:00:00+00:00,2018,0.0,0.0,0.0,788.3,20.0,7.0,0.35
player::wako,team::ahq,Wako,AHQ,major,LMS,4794.483333333334,134,64.0,2018-01-21 00:00:00+00:00,2019-08-31 00:00:00+00:00,2018|2019,192.35,6.0,0.0,4986.833333333334,140.0,64.0,0.47761194029850745
player::westdoor,team::ahq,Westdoor,AHQ,major,LMS,5831.916666666667,161,113.0,2015-01-08 00:00:00+00:00,2018-08-10 00:00:00+00:00,2015|2016|2017|2018,981.8166666666666,27.0,12.0,6813.733333333334,188.0,125.0,0.7018633540372671
player::ysera,team::ahq,Ysera,AHQ,major,LMS,2321.1833333333334,68,40.0,2019-03-01 00:00:00+00:00,2019-08-31 00:00:00+00:00,2019,192.35,6.0,0.0,2513.5333333333333,74.0,40.0,0.5882352941176471
player::ziv-chen-yi,team::ahq,Ziv (Chen Yi),AHQ,major,LMS,13074.533333333333,364,229.0,2015-01-08 00:00:00+00:00,2019-08-31 00:00:00+00:00,2015|2016|2017|2018|2019,1279.0,36.0,12.0,14353.533333333333,400.0,241.0,0.6291208791208791
player::caipi,team::alf,Caipi,ALF,major,LMS,1708.35,55,19.0,2019-01-18 00:00:00+00:00,2019-08-03 00:00:00+00:00,2019,0.0,0.0,0.0,1708.35,55.0,19.0,0.34545454545454546
player::ddc,team::alf,DDC,ALF,major,LMS,87.83333333333331,3,1.0,2019-01-18 00:00:00+00:00,2019-01-18 00:00:00+00:00,2019,0.0,0.0,0.0,87.83333333333331,3.0,1.0,0.3333333333333333
player::gengar,team::alf,Gengar,ALF,major,LMS,64.49999999999999,2,1.0,2019-01-18 00:00:00+00:00,2019-01-18 00:00:00+00:00,2019,0.0,0.0,0.0,64.49999999999999,2.0,1.0,0.5
player::gyu,team::alf,Gyu,ALF,major,LMS,83.83333333333333,3,0.0,2019-07-28 00:00:00+00:00,2019-08-03 00:00:00+00:00,2019,0.0,0.0,0.0,83.83333333333333,3.0,0.0,0.0
